,word,fre,len,ps,level,difficulty
0,a,784,1,"('a', 'DT')",0,-4.749985279425512
1,i,51,1,"('i', 'NN')",0,0.361753481854421
2,am,2,2,"('am', 'VBP')",0,-0.5664979634546707
3,go,9,2,"('go', 'VB')",0,3.624934591970752
4,me,12,2,"('me', 'PRP')",0,-0.6362351907572616
5,my,20,2,"('my', 'PRP$')",0,-4.932273587136576
6,us,29,2,"('us', 'PRP')",0,-0.754788477171664
7,if,32,2,"('if', 'IN')",0,3.4645389691747908
8,do,33,2,"('do', 'VB')",0,3.457565246444533
9,no,37,2,"('no', 'DT')",0,3.4296703555234953
10,so,42,2,"('so', 'RB')",0,3.3948017418722
11,up,42,2,"('up', 'RP')",0,3.3948017418722
12,at,115,2,"('at', 'IN')",0,2.885719982563284
13,an,123,2,"('an', 'DT')",0,2.829930200721215
14,we,136,2,"('we', 'PRP')",0,-1.50097680930939
15,or,142,2,"('or', 'CC')",0,2.6974294688462908
16,be,150,2,"('be', 'VB')",0,2.641639687004216
17,on,165,2,"('on', 'IN')",0,2.5370338460503294
18,by,166,2,"('by', 'IN')",0,2.5300601233200712
19,he,182,2,"('he', 'PRP')",0,-1.821768054901307
20,it,266,2,"('it', 'PRP')",0,-2.4075607642430774
21,as,308,2,"('as', 'IN')",0,1.5397914956232772
22,is,536,2,"('is', 'VBZ')",0,-4.290465901413032
23,in,753,2,"('in', 'IN')",0,-1.5635151193420294
24,to,781,2,"('to', 'TO')",0,-1.7587793557892861
25,of,1304,2,"('of', 'IN')",0,-5.4060363437148045
26,bar,1,3,"('bar', 'NN')",0,6.65100912925829
27,bee,1,3,"('bee', 'JJ')",0,6.65100912925829
28,bid,1,3,"('bid', 'NN')",0,6.65100912925829
29,bit,1,3,"('bit', 'NN')",0,6.65100912925829
30,buy,1,3,"('buy', 'VB')",0,6.65100912925829
31,cap,1,3,"('cap', 'VB')",0,6.65100912925829
32,cry,1,3,"('cry', 'JJ')",0,6.65100912925829
33,ear,1,3,"('ear', 'RB')",0,6.65100912925829
34,fad,1,3,"('fad', 'NN')",0,6.65100912925829
35,fed,1,3,"('fed', 'VBN')",0,2.4107605147210442
36,fun,1,3,"('fun', 'NN')",0,6.65100912925829
37,hid,1,3,"('hid', 'NN')",0,6.65100912925829
38,icy,1,3,"('icy', 'NN')",0,6.65100912925829
39,ill,1,3,"('ill', 'VB')",0,6.65100912925829
41,joy,1,3,"('joy', 'NN')",0,6.65100912925829
42,key,1,3,"('key', 'JJ')",0,6.65100912925829
43,lad,1,3,"('lad', 'JJ')",0,6.65100912925829
44,lay,1,3,"('lay', 'NN')",0,6.65100912925829
45,lot,1,3,"('lot', 'NN')",0,6.65100912925829
