Statement,Prediction
This is a cat,6.152499999999954
I have a red apple,10.73999999999996
Can you see the dog,10.73999999999996
She is my friend,6.152499999999954
He likes to read books,25.919999999999963
We are at the park,8.739999999999945
They play soccer every Saturday,112.64000000000001
The coffee is hot,8.65249999999996
I am going to the store,13.1608333333333
Can I borrow your pen,23.919999999999956
The cat sitting on the roof is mine,29.23999999999997
If you see him could you tell him to call me,27.083181818181778
She usually goes for a run in the mornings,54.38999999999997
The cake that you baked was delicious,56.87214285714283
Im thinking about adopting a pet,73.76083333333334
They moved to a different city last year,65.20250000000001
She doesnt like to drink coffee after noon,30.489999999999977
Im planning to travel to Europe next summer,55.202500000000015
He prefers reading historical novels over watching television,134.11500000000007
While I was at the grocery store I ran into an old friend,55.87846153846153
Despite the heavy rain the game continued,67.71499999999999
Although she had prepared thoroughly she was still nervous about the presentation,101.94416666666669
I dont know whether I should take the job or continue with my studies,52.93464285714285
Considering his commitment to environmental issues its no surprise he pursued a career in conservation,134.57500000000005
Even though it was challenging learning a new language was a rewarding experience,95.07076923076923
Before he became a famous author he used to work as a newspaper reporter,91.89178571428573
The scenery was breathtaking from the lush green fields to the snow-capped mountains,77.8143131868132
In spite of the distance they managed to maintain a close friendship,67.47749999999999
In order to get a good grade youll need to study hard,45.16916666666666
Though he was tired he stayed up late to finish his project,48.99416666666666
The sun is bright,8.65249999999996
My mother is cooking,41.602499999999985
I ride my bike to school,14.827499999999972
She has a beautiful dress,53.099999999999966
The baby is sleeping,41.602499999999985
It is raining outside,41.602499999999985
He bought a new car,12.73999999999996
I love eating ice cream,27.919999999999973
They are playing video games,39.099999999999966
You are a good friend,10.73999999999996
The book on the table belongs to her,27.989999999999966
If it rains tomorrow we will stay at home,47.06777777777776
He is studying to become a doctor,45.4435714285714
They are planning to go on a trip next month,33.767499999999984
The cake she made for my birthday was fantastic,54.38999999999997
I always drink a glass of water in the morning,46.947499999999984
The boy playing the piano is my cousin,37.477499999999985
We visited the museum last weekend,73.76083333333334
She prefers tea over coffee,39.099999999999966
I am looking forward to the summer holidays,72.19
In spite of the criticism he continued his work,70.6011111111111
Even though I studied all night I found the exam difficult,61.95590909090907
I cant decide whether to go to the concert or the movie,48.16083333333332
Given her background in art she enjoys visiting galleries,94.79
After working for many years he decided to retire early,75.7175
The film was interesting but the book was better,60.60111111111109
Despite being a vegetarian she cooks meat for her family,82.7175
They were sad to leave but excited about the new opportunities,86.29227272727273
She was disappointed with the grade but determined to do better next time,83.84769230769231
It was difficult but I managed to finish the race,75.1275
I am learning to swim,23.919999999999956
My father is a teacher,37.09999999999996
The bird is in the tree,13.1608333333333
I have two brothers,25.12749999999997
She is my sister,22.627499999999955
We love to play games,25.919999999999963
They live in a big house,14.827499999999972
The food is delicious,61.60249999999999
He is writing a letter,37.09999999999996
You are very kind,22.627499999999955
The fastest runner won the race,36.79416666666664
If you come early we can start the movie,30.856666666666634
She is saving money for a car,36.02928571428569
They are moving to a new apartment next week,55.50111111111109
The dinner she prepared was very tasty,75.70071428571427
I drink coffee every morning,70.28
The girl drawing in the corner is my niece,38.17888888888888
We went to the zoo last Sunday,28.043571428571386
He likes orange juice more than apple juice,37.47749999999999
I am excited about the winter holidays,96.54357142857143
Despite the obstacles he finished the project on time,85.24555555555557
Even though I practised for hours the song is still difficult to play,70.17846153846153
I can't decide whether to have pasta or rice for dinner,56.15249999999999
Given his interest in astronomy he loves stargazing,126.39000000000003
After years of hard work she finally published her first book,70.13772727272726
The concert was fun but the crowd was too loud,31.767499999999977
