statement,word_count,lexical_density,lexical_diversity,reading_ease,grade_level,gunning_fog,difficulty
a,1,0.0,100.0,121.22000000000004,-3.3999999999999986,0.4,-23.22000000000004
The sun is a giant ball of hot gas,9,55.55555555555556,100.0,113.10000000000002,-0.2799999999999993,3.6,54.77555555555552
Elephants are the largest land animals on Earth,8,62.5,100.0,71.81500000000001,5.230000000000004,8.200000000000001,112.115
Mozart was a famous composer from the Classical era,9,55.55555555555556,100.0,47.30000000000004,8.89777777777778,12.488888888888887,138.64222222222216
The Great Wall of China is visible from space,9,55.55555555555556,100.0,94.3,2.342222222222226,3.6,76.19777777777776
Apples are a good source of vitamins and fiber,9,55.55555555555556,100.0,84.90000000000003,3.653333333333336,8.044444444444444,91.3533333333333
The moon orbits around the Earth,6,66.66666666666666,100.0,87.94500000000002,2.4833333333333343,2.4000000000000004,89.60499999999998
Penguins are flightless birds that live in the Southern Hemisphere,10,60.0,100.0,69.78500000000001,6.010000000000002,8.0,114.225
The Sahara Desert is the largest hot desert in the world,11,54.54545454545454,90.9090909090909,72.61545454545457,5.863636363636363,8.036363636363637,97.73909090909086
Soccer is the most popular sport globally,7,57.14285714285714,100.0,54.70142857142861,7.368571428571428,14.228571428571428,131.0385714285714
Bees play a crucial role in pollinating plants,8,75.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001,124.615
"The Eiffel Tower is located in Paris, France",9,66.66666666666666,100.0,61.24000000000001,6.705000000000002,8.200000000000001,129.33166666666665
Water boils at 100 degrees Celsius,6,83.33333333333334,100.0,73.84500000000001,4.450000000000003,2.4000000000000004,122.33833333333334
The Statue of Liberty was a gift from France to the United States,13,46.15384615384615,100.0,83.0092307692308,4.91076923076923,8.276923076923078,89.33230769230768
The human body is composed of approximately 60% water,10,70.0,100.0,19.100000000000023,12.831111111111111,12.488888888888887,186.21999999999997
Mount Everest is the highest peak in the world,9,55.55555555555556,88.88888888888889,94.3,2.342222222222226,3.6,65.08666666666669
Dogs are known for their loyalty and companionship,8,50.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001,99.615
Albert Einstein developed the theory of relativity,7,71.42857142857143,100.0,6.35857142857148,14.111428571428572,14.228571428571428,200.40999999999997
Diamonds are formed from carbon under high pressure and temperature,10,60.0,100.0,44.405,9.55,8.0,143.145
The Pacific Ocean is the largest and deepest ocean on Earth,11,54.54545454545454,100.0,72.61545454545457,5.863636363636363,8.036363636363637,106.82999999999996
"After you learn each other�s names, it is polite to say this phrase.",17,47.05882352941176,100.0,97.0014285714286,1.4685714285714295,2.8000000000000003,71.32596638655458
"Nice to meet you, Chad.",7,71.42857142857143,100.0,119.69750000000002,-2.8149999999999995,1.0,56.91607142857143
"Nice to meet you, too.",7,57.14285714285714,100.0,119.69750000000002,-2.8149999999999995,1.0,42.63035714285712
"What do you do, Cathleen?",7,42.85714285714285,85.71428571428571,102.77750000000002,-0.455,1.0,33.33892857142854
I am from Spain,4,25.0,100.0,118.175,-2.229999999999998,1.6,10.195000000000004
"Nice to meet you, Sergio",6,66.66666666666666,100.0,100.24000000000002,0.5199999999999996,2.0,74.94666666666663
"So, where are you from",6,16.666666666666664,100.0,117.16000000000004,-1.84,2.0,5.666666666666618
This is a simple sentence you can use to thank someone.,12,50.0,100.0,101.2706818181818,0.5004545454545486,2.2,63.42977272727275
Thanks so much,3,66.66666666666666,100.0,119.19000000000004,-2.619999999999999,1.2000000000000002,49.05666666666662
I really appreciate this,4,50.0,100.0,54.72500000000002,6.620000000000001,11.6,117.49499999999998
Excuse me,2,50.0,100.0,120.205,-3.01,0.8,29.585000000000004
Thanks so much for cooking dinner.,7,71.42857142857143,100.0,90.99000000000004,1.313333333333336,1.2000000000000002,89.95190476190474
Do you have Facebook,4,25.0,100.0,75.87500000000001,3.6700000000000017,11.6,68.39499999999998
"Oh, never mind",4,100.0,100.0,90.99000000000004,1.313333333333336,1.2000000000000002,115.5233333333333
Oh never mind,3,100.0,100.0,90.99000000000004,1.313333333333336,1.2000000000000002,114.5233333333333
Are you going to the grocery store today,8,50.0,100.0,82.39000000000001,3.7550000000000026,8.200000000000001,87.56499999999998
"No, I am not",5,20.0,100.0,118.175,-2.229999999999998,1.6,6.195000000000004
But why�do you need something,5,60.0,100.0,87.94500000000002,2.4833333333333343,9.066666666666666,88.60499999999998
"It is okay, I will go tomorrow",8,50.0,100.0,78.87285714285717,3.997142857142858,8.514285714285714,91.63857142857141
How does that sound,4,25.0,100.0,118.175,-2.229999999999998,1.6,10.195000000000004
I am sorry for being so late,7,28.57142857142857,100.0,103.04428571428576,0.6257142857142846,2.8000000000000003,35.95285714285707
"Excuse me, sir, you dropped your wallet",9,66.66666666666666,88.88888888888889,90.95857142857145,2.3114285714285714,2.8000000000000003,78.70841269841266
Let�s keep in touch,6,66.66666666666666,100.0,117.16000000000004,-1.84,2.0,55.666666666666615
"Here are some phrases for introducing yourself when you meet new people, and questions to learn more about them.",21,42.85714285714285,100.0,81.42407894736841,4.262368421052631,5.905263157894737,92.60069548872178
Here is an informal greeting you can use when you meet new people.,14,50.0,92.85714285714286,96.11442307692307,1.468076923076925,5.676923076923078,67.88771978021978
"f the person does not tell you their name, you can say your name first",16,50.0,87.5,101.37000000000002,2.846666666666668,6.0,60.97666666666665
"After you learn each other�s names, it is polite to say this phrase.",17,47.05882352941176,100.0,97.0014285714286,1.4685714285714295,2.8000000000000003,71.32596638655458
Ask this question to find out which country someone is from.,12,50.0,100.0,93.57977272727274,1.5731818181818191,2.2,72.19340909090909
"I think this question is boring, so I ask other questions",12,50.0,91.66666666666666,80.30636363636367,4.790909090909089,4.4,82.55121212121207
"But many people will probably ask you this, so it is important to know what it means",18,44.44444444444444,94.44444444444444,80.09764705882354,6.310588235294119,11.505882352941178,94.60771241830065
I work at the university as a financial specialist,9,44.44444444444444,100.0,37.900000000000034,10.208888888888891,16.933333333333334,142.68666666666664
"Instead of asking for someone�s job title, I prefer to ask what they enjoy doing",18,55.55555555555556,100.0,84.845,5.400000000000002,6.4,100.51055555555556
I love to read and to garden,7,42.85714285714285,85.71428571428571,103.04428571428576,0.6257142857142846,2.8000000000000003,35.95285714285707
I picked two buckets of tomatoes last week,8,75.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001,124.615
"If you want to keep in contact with someone you just met, ask this question to find out their phone number",22,50.0,90.9090909090909,84.8057142857143,6.647619047619049,8.4,93.15099567099566
It would be great to meet up again sometime,9,44.44444444444444,100.0,84.90000000000003,3.653333333333336,8.044444444444444,80.24222222222221
What is your phone number,5,40.0,100.0,100.24000000000002,0.5199999999999996,2.0,47.27999999999997
You can also use this phrase to thank someone,9,55.55555555555556,100.0,94.3,2.342222222222226,3.6,76.19777777777776
"In the video below, you will explore the many different ways I am sorry can be used in English in the correct context.",25,48.0,88.0,73.77989130434786,5.825434782608696,6.339130434782609,99.38467391304344
"When you want to hear someone�s opinion on a topic, use this question.",17,58.82352941176471,100.0,84.9157142857143,3.1542857142857166,5.6571428571428575,99.71924369747897
I am not sure if we should paint the room yellow or blue,13,38.46153846153847,100.0,102.53230769230773,2.187692307692309,5.2,56.31692307692304
What do you think,4,25.0,100.0,118.175,-2.229999999999998,1.6,10.195000000000004
