statement,word_count,lexical_density,lexical_diversity,reading_ease,grade_level,gunning_fog
a,1,0.0,100.0,121.22000000000004,-3.3999999999999986,0.4
The sun is a giant ball of hot gas,9,55.55555555555556,100.0,113.10000000000002,-0.2799999999999993,3.6
Elephants are the largest land animals on Earth,8,62.5,100.0,71.81500000000001,5.230000000000004,8.200000000000001
Mozart was a famous composer from the Classical era,9,55.55555555555556,100.0,47.30000000000004,8.89777777777778,12.488888888888887
The Great Wall of China is visible from space,9,55.55555555555556,100.0,94.3,2.342222222222226,3.6
Apples are a good source of vitamins and fiber,9,55.55555555555556,100.0,84.90000000000003,3.653333333333336,8.044444444444444
The moon orbits around the Earth,6,66.66666666666666,100.0,87.94500000000002,2.4833333333333343,2.4000000000000004
Penguins are flightless birds that live in the Southern Hemisphere,10,60.0,100.0,69.78500000000001,6.010000000000002,8.0
The Sahara Desert is the largest hot desert in the world,11,54.54545454545454,90.9090909090909,72.61545454545457,5.863636363636363,8.036363636363637
Soccer is the most popular sport globally,7,57.14285714285714,100.0,54.70142857142861,7.368571428571428,14.228571428571428
Bees play a crucial role in pollinating plants,8,75.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001
"The Eiffel Tower is located in Paris, France",9,66.66666666666666,100.0,61.24000000000001,6.705000000000002,8.200000000000001
Water boils at 100 degrees Celsius,6,83.33333333333334,100.0,73.84500000000001,4.450000000000003,2.4000000000000004
The Statue of Liberty was a gift from France to the United States,13,46.15384615384615,100.0,83.0092307692308,4.91076923076923,8.276923076923078
The human body is composed of approximately 60% water,10,70.0,100.0,19.100000000000023,12.831111111111111,12.488888888888887
Mount Everest is the highest peak in the world,9,55.55555555555556,88.88888888888889,94.3,2.342222222222226,3.6
Dogs are known for their loyalty and companionship,8,50.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001
Albert Einstein developed the theory of relativity,7,71.42857142857143,100.0,6.35857142857148,14.111428571428572,14.228571428571428
Diamonds are formed from carbon under high pressure and temperature,10,60.0,100.0,44.405,9.55,8.0
The Pacific Ocean is the largest and deepest ocean on Earth,11,54.54545454545454,100.0,72.61545454545457,5.863636363636363,8.036363636363637
"After you learn each other�s names, it is polite to say this phrase.",17,47.05882352941176,100.0,97.0014285714286,1.4685714285714295,2.8000000000000003
"Nice to meet you, Chad.",7,71.42857142857143,100.0,119.69750000000002,-2.8149999999999995,1.0
"Nice to meet you, too.",7,57.14285714285714,100.0,119.69750000000002,-2.8149999999999995,1.0
"What do you do, Cathleen?",7,42.85714285714285,85.71428571428571,102.77750000000002,-0.455,1.0
I am from Spain,4,25.0,100.0,118.175,-2.229999999999998,1.6
"Nice to meet you, Sergio",6,66.66666666666666,100.0,100.24000000000002,0.5199999999999996,2.0
"So, where are you from",6,16.666666666666664,100.0,117.16000000000004,-1.84,2.0
This is a simple sentence you can use to thank someone.,12,50.0,100.0,101.2706818181818,0.5004545454545486,2.2
Thanks so much,3,66.66666666666666,100.0,119.19000000000004,-2.619999999999999,1.2000000000000002
I really appreciate this,4,50.0,100.0,54.72500000000002,6.620000000000001,11.6
Excuse me,2,50.0,100.0,120.205,-3.01,0.8
Thanks so much for cooking dinner.,7,71.42857142857143,100.0,90.99000000000004,1.313333333333336,1.2000000000000002
Do you have Facebook,4,25.0,100.0,75.87500000000001,3.6700000000000017,11.6
"Oh, never mind",4,100.0,100.0,90.99000000000004,1.313333333333336,1.2000000000000002
Oh never mind,3,100.0,100.0,90.99000000000004,1.313333333333336,1.2000000000000002
Are you going to the grocery store today,8,50.0,100.0,82.39000000000001,3.7550000000000026,8.200000000000001
"No, I am not",5,20.0,100.0,118.175,-2.229999999999998,1.6
But why�do you need something,5,60.0,100.0,87.94500000000002,2.4833333333333343,9.066666666666666
"It is okay, I will go tomorrow",8,50.0,100.0,78.87285714285717,3.997142857142858,8.514285714285714
How does that sound,4,25.0,100.0,118.175,-2.229999999999998,1.6
I am sorry for being so late,7,28.57142857142857,100.0,103.04428571428576,0.6257142857142846,2.8000000000000003
