statement,word_count,lexical_density,lexical_diversity,reading_ease,grade_level,gunning_fog,difficulty
a,1,0.0,100.0,121.22000000000003,-3.3999999999999986,0.4,-5.610000000000011
The sun is a giant ball of hot gas,9,55.55555555555556,100.0,113.10000000000002,-0.27999999999999936,3.6,24.645555555555546
Elephants are the largest land animals on Earth,8,62.5,100.0,71.81500000000001,5.230000000000004,8.200000000000001,65.2025
Mozart was a famous composer from the Classical era,9,55.55555555555556,100.0,47.30000000000004,8.89777777777778,12.488888888888889,93.67888888888886
The Great Wall of China is visible from space,9,55.55555555555556,100.0,94.30000000000001,2.342222222222226,3.6,39.290000000000006
Apples are a good source of vitamins and fiber,9,55.55555555555556,100.0,84.90000000000003,3.653333333333336,8.044444444444444,55.5011111111111
The moon orbits around the Earth,6,66.66666666666666,100.0,87.94500000000002,2.4833333333333343,2.4000000000000004,38.460833333333326
Penguins are flightless birds that live in the Southern Hemisphere,10,60.0,100.0,69.78500000000001,6.010000000000002,8.0,69.1275
The Sahara Desert is the largest hot desert in the world,11,54.54545454545454,90.9090909090909,72.61545454545457,5.863636363636363,8.036363636363637,67.03772727272727
Soccer is the most popular sport globally,7,57.14285714285714,100.0,54.70142857142861,7.368571428571428,14.228571428571428,88.55785714285713
Bees play a crucial role in pollinating plants,8,75.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001,66.4525
"The Eiffel Tower is located in Paris, France",9,66.66666666666666,100.0,61.24000000000001,6.705000000000002,8.200000000000001,74.85666666666667
Water boils at 100 degrees Celsius,6,83.33333333333334,100.0,73.84500000000001,4.450000000000003,2.4000000000000004,51.11083333333333
The Statue of Liberty was a gift from France to the United States,13,46.15384615384615,100.0,83.0092307692308,4.91076923076923,8.276923076923078,62.48615384615384
The human body is composed of approximately 60% water,10,70.0,100.0,19.100000000000023,12.831111111111113,12.488888888888889,118.08999999999999
Mount Everest is the highest peak in the world,9,55.55555555555556,88.88888888888889,94.30000000000001,2.342222222222226,3.6,38.17888888888889
Dogs are known for their loyalty and companionship,8,50.0,100.0,71.81500000000001,5.230000000000004,8.200000000000001,63.9525
Albert Einstein developed the theory of relativity,7,71.42857142857143,100.0,6.35857142857148,14.111428571428572,14.228571428571428,127.64357142857139
Diamonds are formed from carbon under high pressure and temperature,10,60.0,100.0,44.405,9.55,8.0,88.89750000000001
